ANBIMA – Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais.
Reune - Quadro de Informações Prévias - 06/07/2020
Prévia (Acumulado) - Abrangência : Até 20:01:15
CETIP;BVMF;ISIN;Tipo;Agrupamento;Taxa Mínima;Taxa Média;Taxa Máxima;Preço Mínimo;Preço Médio;Preço Máximo;Faixa de Volume
AEGP23;--;BRAEGPDBS038;DEB;TOTAL;4,7900;4,8000;4,8100;12.213,331687;12.217,754636;12.222,177585;Entre 1MM e 5MM
AEGP23;--;BRAEGPDBS038;DEB;SUBTOTAL;4,7900;4,8000;4,8100;12.213,331687;12.217,754636;12.222,177585;Entre 1MM e 5MM
AESL17;--;BRAESLDBS008;DEB;TOTAL;3,1400;3,1400;3,1400;1.190,904201;1.190,904201;1.190,904201;Até 1MM
AESL17;--;BRAESLDBS008;DEB;SUBTOTAL;3,1400;3,1400;3,1400;1.190,904201;1.190,904201;1.190,904201;Até 1MM
AGGU13;--;BRGRRBDBS026;DEB;TOTAL;2,7493;2,7515;2,7538;9.975,816900;9.976,066900;9.976,316900;Entre 1MM e 5MM
AGGU13;--;BRGRRBDBS026;DEB;SUBTOTAL;2,7493;2,7515;2,7538;9.975,816900;9.976,066900;9.976,316900;Entre 1MM e 5MM
AGRU21;--;BRAGRUDBS014;DEB;TOTAL;6,1500;11,8455;13,7999;875,588526;924,537990;1.097,916269;Até 1MM
AGRU21;--;BRAGRUDBS014;DEB;SUBTOTAL;6,1500;11,8455;13,7999;875,588526;924,537990;1.097,916269;Até 1MM
AGRU41;--;BRAGRUDBS030;DEB;TOTAL;6,1700;7,1488;10,0000;1.126,585813;1.225,723017;1.263,883029;Até 1MM
AGRU41;--;BRAGRUDBS030;DEB;SUBTOTAL;6,1700;7,1488;10,0000;1.126,585813;1.225,723017;1.263,883029;Até 1MM
ALGA28;--;BRALGTDBS0A7;DEB;TOTAL;2,4557;2,4582;2,4607;9.486,733573;9.487,760092;9.488,786610;Até 1MM
ALGA28;--;BRALGTDBS0A7;DEB;SUBTOTAL;2,4557;2,4582;2,4607;9.486,733573;9.487,760092;9.488,786610;Até 1MM
ALIG12;--;BRALGEDBS011;DEB;TOTAL;4,2800;4,2800;4,2800;926,195495;926,195495;926,195495;Até 1MM
ALIG12;--;BRALGEDBS011;DEB;SUBTOTAL;4,2800;4,2800;4,2800;926,195495;926,195495;926,195495;Até 1MM
ALSCA0;--;BRALSCDBS036;DEB;TOTAL;160,6000;160,7000;160,8000;957,976489;958,076657;958,176825;Entre 1MM e 5MM
ALSCA0;--;BRALSCDBS036;DEB;SUBTOTAL;160,6000;160,7000;160,8000;957,976489;958,076657;958,176825;Entre 1MM e 5MM
ALUP17;--;BRALUPDBS034;DEB;TOTAL;2,5081;2,5131;2,5181;964,051115;964,246466;964,444387;Até 1MM
ALUP17;--;BRALUPDBS034;DEB;SUBTOTAL;2,5081;2,5131;2,5181;964,051115;964,246466;964,444387;Até 1MM
AMPL19;--;BRCBEEDBS0C2;DEB;TOTAL;149,9000;150,0000;150,1000;998,243757;998,252884;998,262010;Entre 1MM e 5MM
AMPL19;--;BRCBEEDBS0C2;DEB;SUBTOTAL;149,9000;150,0000;150,1000;998,243757;998,252884;998,262010;Entre 1MM e 5MM
AMPLA0;--;BRCBEEDBS0D0;DEB;TOTAL;161,6367;161,6867;161,7367;939,942292;940,005025;940,067758;Até 1MM
AMPLA0;--;BRCBEEDBS0D0;DEB;SUBTOTAL;161,6367;161,6867;161,7367;939,942292;940,005025;940,067758;Até 1MM
ANHB10;--;BRANHBDBS0F3;DEB;TOTAL;2,7334;2,7419;2,7464;901,653604;901,769004;901,984720;Entre 1MM e 5MM
ANHB10;--;BRANHBDBS0F3;DEB;SUBTOTAL;2,7334;2,7419;2,7464;901,653604;901,769004;901,984720;Entre 1MM e 5MM
ANHB18;--;BRANHBDBS0D8;DEB;TOTAL;2,7000;2,7383;3,3601;1.171,758413;1.185,544559;1.186,386085;Entre 1MM e 5MM
ANHB18;--;BRANHBDBS0D8;DEB;SUBTOTAL;2,7000;2,7344;3,3601;1.171,758413;1.185,631264;1.186,386085;Entre 1MM e 5MM
APAR16;--;BRALUPDBS0A3;DEB;TOTAL;0,7600;0,7600;0,7600;672,409206;672,409206;672,409206;Até 1MM
APAR16;--;BRALUPDBS0A3;DEB;SUBTOTAL;0,7600;0,7600;0,7600;672,409206;672,409206;672,409206;Até 1MM
ARTR15;--;BRARTRDBS039;DEB;TOTAL;3,1153;3,1177;3,1202;984,498777;984,539515;984,580252;Até 1MM
ARTR15;--;BRARTRDBS039;DEB;SUBTOTAL;3,1153;3,1177;3,1202;984,498777;984,539515;984,580252;Até 1MM
BKBR18;--;BRBKBRDBS048;DEB;TOTAL;3,5100;3,5100;3,5100;931,010039;931,010039;931,010039;Até 1MM
BKBR18;--;BRBKBRDBS048;DEB;SUBTOTAL;3,5100;3,5100;3,5100;931,010039;931,010039;931,010039;Até 1MM
BLMN12;--;BRBLMNDBS026;DEB;TOTAL;3,7500;3,9672;4,4300;1.291,919459;1.324,744806;1.340,598378;Até 1MM
BLMN12;--;BRBLMNDBS026;DEB;SUBTOTAL;3,7500;3,9272;4,4300;1.291,919459;1.327,634796;1.340,598378;Até 1MM
BRML17;--;BRBRMLDBS076;DEB;TOTAL;149,8074;149,8574;149,9074;9.188,461945;9.189,488780;9.190,515615;Até 1MM
BRML17;--;BRBRMLDBS076;DEB;SUBTOTAL;149,8074;149,8574;149,9074;9.188,461945;9.189,488780;9.190,515615;Até 1MM
BSA312;--;BRB3SADBS024;DEB;TOTAL;149,9000;150,0000;150,1000;9.783,018405;9.783,572572;9.784,126738;Até 1MM
BSA312;--;BRB3SADBS024;DEB;SUBTOTAL;149,9000;150,0000;150,1000;9.783,018405;9.783,572572;9.784,126738;Até 1MM
CART12;RPTA-DEB21;BRRPTADBS017;DEB;TOTAL;5,0001;5,0283;7,5001;1.350,374908;1.441,973962;1.443,091024;Até 1MM
CART12;RPTA-DEB21;BRRPTADBS017;DEB;SUBTOTAL;5,0001;5,0283;7,5001;1.350,374908;1.441,973962;1.443,091024;Até 1MM
CART22;RPTA-DEB22;BRRPTADBS025;DEB;TOTAL;6,5000;6,5000;6,5000;1.397,423511;1.397,423511;1.397,423511;Até 1MM
CART22;RPTA-DEB22;BRRPTADBS025;DEB;SUBTOTAL;6,5000;6,5000;6,5000;1.397,423511;1.397,423511;1.397,423511;Até 1MM
CBAN12;--;BRCRBDDBS025;DEB;TOTAL;4,4999;5,0428;5,0601;1.035,429742;1.036,939080;1.086,747222;Até 1MM
CBAN12;--;BRCRBDDBS025;DEB;SUBTOTAL;4,4999;5,0428;5,0601;1.035,429742;1.036,939080;1.086,747222;Até 1MM
CBAN72;--;BRCRBDDBS082;DEB;TOTAL;5,1350;5,1350;5,1350;1.047,683900;1.047,683900;1.047,683900;Até 1MM
CBAN72;--;BRCRBDDBS082;DEB;SUBTOTAL;5,1350;5,1350;5,1350;1.047,683900;1.047,683900;1.047,683900;Até 1MM
CBRDB6;--;BRPCARDBS0C5;DEB;TOTAL;150,0000;165,2496;165,3412;967,565573;967,632169;978,818717;Entre 1MM e 5MM
CBRDB6;--;BRPCARDBS0C5;DEB;SUBTOTAL;150,0000;165,2496;165,3412;967,565573;967,632169;978,818717;Entre 1MM e 5MM
CCPRB1;--;BRCCPRDBS0B5;DEB;TOTAL;2,5311;2,5362;2,5413;9.713,203775;9.714,669050;9.716,134324;Até 1MM
CCPRB1;--;BRCCPRDBS0B5;DEB;SUBTOTAL;2,5311;2,5362;2,5413;9.713,203775;9.714,669050;9.716,134324;Até 1MM
CCRDC1;--;BRCCRODBS0F7;DEB;TOTAL;2,5742;2,5767;2,5792;969,091638;969,174359;969,257079;Até 1MM
CCRDC1;--;BRCCRODBS0F7;DEB;SUBTOTAL;2,5742;2,5767;2,5792;969,091638;969,174359;969,257079;Até 1MM
CEAD11;--;BRCEADDBS009;DEB;TOTAL;4,0001;4,1370;4,8000;1.070,101780;1.105,347212;1.112,918453;Até 1MM
CEAD11;--;BRCEADDBS009;DEB;SUBTOTAL;4,0001;4,1370;4,8000;1.070,101780;1.105,347212;1.112,918453;Até 1MM
CEAR15;--;BRCOCEDBS077;DEB;TOTAL;2,3600;2,6604;2,9795;962,283051;967,909980;973,265534;Até 1MM
CEAR15;--;BRCOCEDBS077;DEB;SUBTOTAL;2,3800;2,7659;2,9795;962,283051;966,043387;972,907881;Até 1MM
CEEBB0;--;BRCEEBDBS0D0;DEB;TOTAL;155,0582;155,1082;155,1582;9.778,610781;9.778,995723;9.779,380665;Até 1MM
CEEBB0;--;BRCEEBDBS0D0;DEB;SUBTOTAL;155,0582;155,1082;155,1582;9.778,610781;9.778,995723;9.779,380665;Até 1MM
